,text
38,39 in) per year on the Karlıova segment down to 2.
39,9 mm (0.
40,11 in) per year on the Amanos segment.
41,"On the northern strand, a slip rate of 2."
42,5 mm (0.
43,098 in) per year was estimated on the Çardak segment.
44,The Sürgü-Çardak Fault is an east-west striking 160 km (99 mi) long fault that runs north of the EAF.
45,It branches away from the EAF west of Çelikhan and extends westwards to Göksun.
46,Comprising two segments; the Sürgü Fault runs 70 km (43 mi) between Çelikhan and Nurhak; the Çardak Fault runs 90 km (56 mi) between Nurhak and Göksun.
47,Seismicity on the fault is low—the only associated earthquake was a M 6.
48,8 event in 1544.
49,"The northern part of the DST is subdivided into several segments, although there is some disagreement between scientists as to which faults should be assigned to the DST and which to the EAF, at the northernmost end of the structure."
50,"Following the 2013 Active Fault Map of Turkey, seven DST segments are recognized in Turkey and neighbouring parts of Syria; the Afrin, Sermada, Armanaz, Hacıpaşa, Yesemek, Sakçagöz and Narlı segments."
52,"The EAF has produced large or damaging earthquakes in the past few hundred years along various segments, including the 1789 (M 7."
53,"2, Palu), 1795 (M 7."
54,"0, Pazarcık), 1866 (M 7."
55,"2 Karlıova), 1872 (M 7."
56,"2, Amanos), 1874 (M 7."
57,"1, Palu), 1875 (M 6."
58,"7, Palu), 1893 (M 7."
59,"1, Erkenek), 1971 (M6."
60,"6, Karlıova) and 2020 (M 6."
61,"8, Pütürge) events."
62,"Other large historical earthquakes have been tentatively assigned to segments of the EAF, such as the 1114 and 1513 Marash earthquakes, both thought to have ruptured the Pazarcık segment."
63,The Palu and Pütürge segments in the east display a recurrence interval of about 150 years for M 6.
64,8–7.
65,0 earthquakes.
66,"The Pazarcık and Amanos segments in the west have recurrence intervals of 237–772 years and 414–917 years, respectively, for M 7."
67,0–7.
68,4 earthquakes.
69,A research paper published by Earth and Planetary Science Letters in 2002 studied stress accumulation and increased seismic hazard along the East Anatolian Fault.
70,The study concluded two sections of the fault with a considerably high potential for future earthquakes.
71,"One of these sections was in Elazığ and Bingöl, located between the rupture zones of the 1874 and 1971 earthquakes."
72,The seismic gap ruptured during a Mw  6.
73,1 earthquake in 2010.
74,The 2020 Mw  6.
75,8 earthquake ruptured to the southwest between the 1893/1905 and 1874 earthquakes.
76,"Another seismic gap was located in Kahramanmaraş—this 103 km (64 mi) long section—according to the study, believed to last rupture in 1513 has the potential to produce magnitude 7."
77,3 earthquakes.
78,"Large earthquakes on the northern part of the DST include events in 115, 526, 587, 1138, 1170 and 1822, which resulted in several tens of thousands to several hundreds of thousands of fatalities."
80,The first and largest earthquake in the sequence struck at 01:17 UTC.
81,The United States Geological Survey (USGS) and Global Centroid Moment Tensor (GCMT) measured it at Mww 7.
82,8 and Mw 7.
83,"8, respectively."
84,GEOSCOPE reported Mw 8.
85,0 and Kandilli Observatory (KOERI) reported Mw 7.
86,7 and ML 7.
87,4.
88,It had an epicenter at 37.
89,166°N 37.
90,032°E﻿ / 37.
91,166; 37.
92,"032, 34 km (21 mi) west of Gaziantep in Gaziantep Province, which is near the border with Syria."
93,The earthquake hypocenter was at a depth of 10.
94,0 km (6 mi) according to USGS and 5 km (3 mi) according to KOERI.
95,The shock had a focal mechanism corresponding to strike-slip faulting.
96,"It is one of the strongest ever recorded in Turkey, equivalent in magnitude to the 1939 Erzincan earthquake (Mw 7."
97,8).
98,These earthquakes are surpassed only by the larger estimates for the 1668 North Anatolia earthquake.
99,Globally it was the strongest recorded since August 2021.
100,Both earthquakes are the largest and only observed to occur on land and within a short span of time.
102,"At 10:24 UTC, an earthquake measuring Mww 7."
103,"5 according to USGS, Mw 7."
104,"6 according to KOERI, or Mw 7."
105,"7 according to Geoscope and the GCMT, struck with an epicenter near Ekinözü, 95 km northeast of the M7."
106,8 event.
107,It had a depth of 7.
108,"4 km (5 mi) according to the USGS, 5 km (3 mi) by KOERI, and 13 km (8 mi) by Geoscope."
109,The shock was also the result of strike-slip faulting; it had an epicenter north of the previous large earthquake.
110,A reevaluation of the earthquakes using long-period coda moment magnitude obtained Mw  7.
111,95 ± 0.
112,013 and Mw  7.
113,86 ± 0.
114,"012, respectively."
115,"These earthquakes were the largest Turkish earthquakes in over 2,000 years."
117,Over 570 aftershocks were recorded within 24 hours of the Mw 7.
118,"8 earthquake and over 30,000 recorded by May 2023."
119,An aftershock measuring Mww 6.
120,7 occurred about 11 minutes after the mainshock.
121,There were 25 aftershocks Mw 4.
122,"0 or greater recorded within six hours of the main tremor, according to the USGS."
123,"More than 12 hours later, the USGS had reported at least 54 aftershocks of 4."
124,"3 or greater magnitude, while the Turkish Disaster and Emergency Management Presidency (AFAD) recorded at least 120 total aftershocks."
125,A Mww 6.
126,3 aftershock struck near Uzunbağ in Hatay Province on 20 February; the earthquake was the result of oblique-normal faulting.
127,The Mw  7.
128,8 earthquake had aftershocks distributed along ~350 km (220 mi) of the EAF.
129,The Mw 7.
130,"7 earthquake triggered its own aftershock sequence, including two mb 6."
131,0 aftershocks.
132,Aftershocks of the second earthquake continued through at least 9 February.
133,Thousands of aftershocks associated with this earthquake were distributed along an east-west trend corresponding to the Çardak Fault for about 170 km (110 mi).
135,A source model for the Mww 7.
136,"8 earthquake produced by the USGS from observed seismic waves, taking into account preliminary rupture mapping from satellite data, uses three fault segments with individual lengths, widths, strikes and dips of >40 km (25 mi) × 30 km (19 mi), 028°/85° (Segment 1), >175 km (109 mi) × 30 km (19 mi), 060°/85° (Segment 2) and >160 km (99 mi) × 20 km (12 mi), 025°/75° (Segment 3)."
137,The mainshock produced a maximum slip of 11.
138,"2 m (37 ft) along Segment 2, beneath Sakarya in Kahramanmaraş Province, northeast of the junction where it meets Segment 1."
139,Another zone of large slip estimated at 4.
140,96 m (16.
141,"3 ft) occurred further northeast along Segment 2, northwest of Adıyaman."
142,The USGS source model for the Mw 7.
143,"7 earthquake which struck nine hours later has three large fault segments with individual lengths, widths, strikes and dips of >70 km (43 mi) × >20 km (12 mi), 276°/80° (Segment 1), >40 km (25 mi) × >20 km (12 mi), 250°/80° (Segment 2) and ~80 km (50 mi) × >20 km (12 mi), 060°/80° (Segment 3)."
144,Maximum displacement occurred on Segment 1 at 11.
145,4 m (37 ft).
146,Three segments of the EAF were involved in the Mw  7.
147,"8 rupture; the Amanos, Pazarcık and Erkenek segments."
148,"The earthquake ruptured ~370 km (230 mi) of the EAF, producing a maximum slip of 9 m (30 ft) along the Pazarcık segment."
149,The northern end of the rupture was about 20–30 km (12–19 mi) south of the Mw  6.
150,8 earthquake that struck in 2020.
151,"This section of the EAF, the Pütürge segment, between both earthquakes, may represent a seismic gap."
152,"The southern segment of the EAF rupture was at its termination, near Antakya."
153,Slip peaked at 12 m (39 ft) from the surface to 7 km (4.
154,3 mi) depth during the Mw  7.
155,7 earthquake; slip was 11 m (36 ft) at the surface.
156,Slip along the fault was compact—mostly confined to within the Çardak Fault; it was also shallower—attenuating from 8–12 km (5.
157,0–7.
158,5 mi).
159,Slip during the Mw  7.
160,8 event extended to 18 km (11 mi) and 12 km (7.
161,5 mi) for the Mw  7.
162,7 event.
163,The Mw  6.
164,4 aftershock that struck Antakya on 20 February had a rupture area of 25 km (16 mi) × 25 km (16 mi) and produced a peak slip of 0.
165,93 m (3 ft 1 in) at 8.
166,3 km (5.
167,2 mi) depth.
168,Preliminary analysis of the effects of stress changes caused by the M7.
169,"8 earthquake on the Çardak–Sürgü Fault, based on the USGS fault model, indicated up to 3 bars of added stress near the epicenter of the M7."
170,"7 shock, sufficient to trigger rupture on that zone, assuming that is was already close to failure."
171,"Stress on the Hatay Fault, source of the 20 February Mw  6."
172,"4 aftershock, increased by 1 bar following the 6 February earthquakes."
174,Preliminary analysis based on seismology and observations of surface rupture suggest the following sequence of events: initial rupture at the site of the epicenter of the M7.
175,"8 shock on the Narlı Fault, the northernmost section of the Dead Sea Transform."
176,The fault ruptured unilaterally northwards until it reached the Pazarcık segment of the East Anatolian Fault.
177,Ruptures then continued bilaterally to the northeast and southwest along this segment.
178,This subevent on the Narlı Fault corresponded to a Mw  7.
179,0 earthquake which ruptured for 20 seconds.
180,It had a focal mechanism corresponding to oblique-normal faulting.
181,A preliminary analysis of near-field (within 1 km (0.
182,62 mi) of the fault rupture) seismic records indicates that the initial rupture speed transitioned to supershear after propagating about 19.
183,5 km (12.
184,1 mi) away from the epicenter along the Narlı Fault before it reached the EAF.
185,Back projection suggest the total rupture length was ~560 km (350 mi).
186,The rupture continued northeast onto the Ekernek segment and to the southwest onto the Amanos segment.
187,The northeastern rupture ceased 55 seconds after initiation while the southwestern rupture ceased near Antakya about 80 seconds later.
188,A Mw 6.
189,"8 aftershock occurring 11 minutes later and west of the first M>7 epicenter may have ruptured along the Sakçagöz Fault, the next segment of the Dead Sea Transform to the south."
190,Rupture along the EAF during the event occurred at subshear velocity (maximum 3.
191,2 km (2.
192,0 mi) per second).
193,An analysis of near-field seismic data revealed transient supershear rupture episodes throughout the EAF rupture.
194,Supershear rupture occurred along the northernmost section of the Narlı Fault where it meets the EAF.
195,The rupture transitioned onto the EAF and propagated northeast at supershear velocity until its termination near Malatya.
196,"Rupture towards the southwest was mostly subshear, but at the southern termination in Hatay, where the fault has multiple branches and kinks, supershear was likely observed."
197,Supershear rupture at the southern termination contributed to the intense ground motion in Antakya.
198,"The second M>7 earthquake initiated on a separate fault known as the Çardak–Sürgü Fault Zone, part of the northern strand of the East Anatolian Fault."
199,"The rupture propagated bilaterally along the Çardak segment, continuing eastwards onto the Sürgü segment before continuing eastwards to Malatya along the northeast–southwest trending Doğanşehir Fault Zone."
200,Rupture also propagated towards the southwest along the Çardak segment.
201,The total rupture length was estimated at 160 km (99 mi).
202,The westward-propagating rupture occurred at supershear velocity (maximum 4.
203,8 km (3.
204,0 mi) per second) while the eastward-propagating rupture occurred at subshear velocity (maximum 2.
205,8 km (1.
206,7 mi) per second).
207,The rupture lasted about 35 seconds.
208,The Mw  6.
209,4 aftershock on 20 February occurred along the Hatay Fault.
210,The focal mechanism indicated normal faulting along a northeast-southwest striking fault.
212,The extent of surface ruptures associated with the M7.
213,8 and M7.
214,7 earthquakes have been mapped using a mixture of satellite imagery and ground observations.
215,"Pixel matching on images captured by Sentinel-1 before and after the earthquakes showed sharp discontinuities in displacement, revealing two separate zones of surface rupture."
216,"The longer of the pair, produced by the first earthquake, measured 320 km (200 mi) while the second earthquake produced 150 km (93 mi) of surface rupture."
217,"These observations were backed up with direct imaging of the ruptures using other satellite data, such as from the DigitalGlobe's WorldView-1, 2 & 3 and GeoEye-1, and by field work."
218,Remote sensing using satellite imagery indicated 30 km (19 mi) of surface rupture with large normal faulting component.
220,"The zone of surface rupture extended from north of Antakya, Hatay Province towards Pazarcık, Kahramanmaraş Province and Gölbaşı, Adıyaman Province."
221,Surface ruptures continued north of these cities.
222,Surface rupture occurred in the Amik Valley.
223,The westernmost part of Hatay Airport was damaged by surface ruptures but cracks in the runway were attributed to ground deformation.
224,A major canal was damaged and lead to flooding in parts of the Amik Valley which was formerly Lake Amik.
225,Field observations indicate a maximum displacement of 7.
226,3 m (24 ft) on the surface.
227,Geologists traced a 15 km (9.
228,3 mi) surface rupture trending south from Pazarcık with an offset of 2.
229,5 m (8 ft 2 in).
230,From Golbasi to Nurdağı ground displacements were up to 5 m (16 ft).
231,The surface rupture observed during the M7.
232,"8 earthquake was unusually large, comparable to that during the 1906 San Francisco earthquake along the San Andreas Fault."
233,Large surface offsets of 6–8 m (20–26 ft) were observed along the Sürgü-Çardak Fault.
234,"Along a road west of Gözpınar, the rupture displaced the road left-laterally for 8."
235,6 m (28 ft).
236,The largest maximum surface offset was 10.
237,0–12.
238,6 m (32.
239,8–41.
240,3 ft); one of the largest surface offset ever observed from an earthquake.
242,Ground acceleration values recorded in some areas near the fault rupture were in excess of 1 g.
243,"Three USGS seismic installations, two at Antakya and one at Hassa, recorded large ground accelerations and velocities."
244,The town of Hassa recorded 0.
245,9082 g in ground acceleration (pga) and 215.
246,34 cm/s (84.
247,78 in/s) in ground velocity.
248,The station data corresponded to a Modified Mercalli intensity of X (Extreme).
249,A peak ground acceleration of 1.
250,62 g was recorded by a station at Fevzipaşa.
251,The peak ground acceleration generally exceeded 0.
252,"5 g in a large area around the epicenter, near Adiyaman and a large part of Hatay."
253,High pga values of 2 g were recorded in Hatay.
254,The maximum recorded pga was 2.
255,"212 g at a station in Pazarcık Belediyesi Parkı, Pazarcık; a government health facility nearby had limited damage but the surrounding town was devastated."
256,The maximum recorded pga during the Mw  7.
257,7 earthquake was 0.
258,59 g at Göksun.
259,"According to Kandilli Observatory, the maximum Mercalli intensity (MMI) of the mainshock was estimated to have reached MMI XI–XII (Extreme) in Antakya and near the epicenter."
260,MMI XI (Extreme) or higher was observed along the fault rupture from the epicenter to Antakya.
261,"The MMI also reached IX–X (Violent–Extreme) in Kahramanmaraş and İskenderun, VIII–IX (Severe–Violent) in Malatya and Adıyaman, VII–VIII (Very strong–Severe) in Gaziantep, Kilis, Idlib and Aleppo, and VI–VII (Strong–Very strong) in Adana and Şanlıurfa."
262,The maximum MMI of the second earthquake was X (Extreme).
264,Liquefaction was identified via satellite and remote sensing along the southern portion of the Mw 7.
265,8 rupture on the East Anatolian Fault from Antakya to Golbasi.
266,"Liquefaction and lateral spreading were observed at and near coastal areas, fluvial valleys and drained lake or swamp areas, covered by Holocene sediments."
267,"These effects were widespread in the Amik Valley and Orontes River plain, north of Antakya, Hatay Province."
268,Limited observations were made in high-elevation areas due to snow cover and lack of satellite observations.
269,Liquefaction was also observed in Samandağ.
270,"At Lake Gölbaşı, Adıyaman Province, lateral spreading occurred along the northern, eastern and southern coast."
271,Parts of the lakeshore were also submerged.
272,Gölbaşı was also damaged by liquefaction and lateral spreading.
274,Subsidence due to lateral spreading caused extensive damage in İskenderun.
275,Liquefaction produced sand ejecta that buried Atatürk Boulevard in Çay District.
276,Regular flooding in the city was observed after the earthquakes.
277,Earlier flooding may be attributed to liquefaction while subsequent occurrences may be due to damage to the coast and water infrastructure.
278,The sea inundated parts of the city by as much as 200 m (660 ft).
279,Large areas of the coast and sections of piers were flooded due to lateral spreading.
280,Large waves from bad weather and a tsunami may have contributed to the effects observed at İskenderun.
281,Both earthquakes caused shaking levels (≥0.
282,"12 g) sufficient for landslide-triggering across a 90,000 km2 (35,000 sq mi) area."
283,"About 3,673 earthquake-triggered landslides were identified using satellite imagery, aerial photos, and one field survey of the area."
284,Landslides mainly occurred in the northern region of the affected area.
285,"Rockslides were the most commonly observed; there were also many bedrock rotational landslides, translational slides and lateral spreads."
286,Surface ruptures propagating through hillsides also triggered landslides.
287,"These landslides blocked roads and river channels, destroyed or seriously damaged buildings and caused many deaths."
288,"One of the largest landslides occurred near Tepehan village, Hatay Province; a translational slide which detached a block 1."
289,3 km2 (0.
290,50 sq mi).
291,This landslide occurred in a region comprising marl and clay-rich limestone.
292,It produced a 20 m (66 ft) vertical displacement along its scarp.
293,"ITV News reported the landslide scarp was up to 1,000 ft (300 m) long and wider than a football pitch in some areas."
295,"Despite an epicenter 90 km (56 mi) inland, a tsunami was recorded in the Mediterranean Sea."
296,It was the first recorded tsunami in the eastern Mediterranean Sea region since that produced after a 1953 ML  6.
297,2 earthquake in Cyprus.
298,The largest wave measured 40 cm (16 in) along the Mediterranean coast of Turkey.
299,"Although no underwater surveys results have been made available to identify the sources of these tsunamis, they were likely produced by landsliding at Iskenderun Port and liquefaction on the coastal flatlands of Antakya."
300,"Small tsunami waves were recorded off the coast of Famagusta, Cyprus, without damage."
301,The tsunami measured 0.
302,17 m (6.
303,"7 in), and tsunami waves were recorded at 0."
304,12 m (4.
305,7 in) at İskenderun and 0.
306,13 m (5.
307,1 in) at Erdemli.
308,"Tsunami warnings were issued for the southern Turkish coast, southern and eastern Italian coasts and the whole eastern Mediterranean Sea area, but later withdrawn."
310,"There were 50,783 deaths, 297 missing and 107,204 injured across 11 of the 17 affected provinces of Turkey."
311,At least 15.
312,73 million people and 4 million buildings were affected.
313,"About 345,000 apartments were destroyed."
314,"More than 2 million residents in the affected provinces were evacuated to nearby provinces including Mersin, Antalya, Mardin, Niğde and Konya."
315,More than 20 percent of Turkey's agriculture production was affected.
316,"The United Nations said crops, livestock, fisheries, aquaculture and rural infrastructure were heavily damaged."
317,"At least 516 university buildings were affected, of which 106 were heavily damaged."
318,"By 23 February 2023, the Ministry of Environment, Urbanization and Climate Change conducted damage inspections for 1."
319,"25 million buildings; revealing 164,000 buildings were either destroyed or severely damaged."
320,"A further 150,000 commercial infrastructure were at least moderately damaged."
321,The International Organization for Migration estimated over 2.
322,7 million people were made homeless.
323,"A damage assessment by the Turkish government revealed at least 61,722 buildings had to be demolished including 11,900 in Gaziantep Province, 10,900 in Hatay Province, 10,800 in Kahramanmaraş Province and 36,046 in Malatya Province."
324,Broad fissures appeared on roads.
325,"During recovery efforts, body parts were often found in the rubble."
327,"In Adana, 12 buildings collapsed in the city center, 23 were badly damaged and 120 were moderately damaged."
328,Three apartments were among the buildings that collapsed in the city.
329,"Across Adana Province, damage assessments revealed 59 buildings and 1,274 apartments were destroyed or required demolition."
330,At least 300 buildings were razed in Malatya.
331,Sixty percent of the city's buildings received damage.
332,Nearly every neighborhood of the city was affected by collapsed buildings.
333,"Out of the 968 mosques in the city, 25 were destroyed and 420 others were damaged."
334,"Two hotels collapsed in Malatya, causing many casualties."
335,"The ceiling of Malatya Erhaç Airport experienced a partial collapse, as did the historic Yeni Camii mosque."
336,Damage was also reported at the Arslantepe Mound.
337,"In Akçadağ, 11 people died, including four attributed to the second earthquake."
338,At least 263 deaths were reported in Doğanşehir.
339,"In Gaziantep, many of the historical sites were severely damaged, such as Gaziantep Castle, Şirvani Mosque and Liberation Mosque."
340,"The city recorded 16,211 collapses and buildings which were severely damaged or required demolition."
341,"In the city center, at least 154 people died after a four-story building collapsed; four other collapsed buildings left another 102 dead."
342,"In Nizip, at least 51 people were killed when a six-story apartment building collapsed."
343,"In Nurdağı, nearly 2,500 people died and about 50 percent of the houses were badly damaged or destroyed."
344,An additional 30 percent of its building stock received moderate damage.
345,Mass graves were created to bury the overwhelming number of dead.
346,Gaziantep Oğuzeli Airport was forced to restrict its service to rescue flights.
347,"Ninety percent of houses were heavily damaged or destroyed in Sakçagözü, and 256 people died."
348,"In İslahiye, there were 1,368 deaths, over 1,500 injuries and more than 200 destroyed apartments."
349,There were over 130 deaths in Sulumağara; 200 in Altınüzüm; and 300–400 in Keküklü.
351,"In Hatay Province, 13,517 buildings collapsed, 8,162 required demolition and 67,346 were heavily damaged."
352,"The districts of Antakya, Kırıkhan and İskenderun were the most affected."
353,"In Antakya, 70 percent of homes and 6,369 buildings collapsed, 3,734 had to be demolished and 21,830 were badly damaged."
354,The collapse of the luxury Rönesans Rezidans apartment trapped an estimated 800 people and killed 750 residents.
355,"The runway of Hatay Airport was split and uplifted, causing flight cancellations."
356,"The Ankara Metropolitan Municipality completed repairs on the airport on 12 February, allowing its reopening."
357,"Two provincial hospitals and a police station were destroyed, and a gas pipeline exploded."
358,"The building that housed the assembly of Hatay State was destroyed, as was St."
359,"Paul's Church and the Habib'i Neccar Mosque, while damage occurred at the Antakya Synagogue and the Hatay Archaeology Museum."
360,Several dozen buildings in Güzelburç district and nearly every house in the central and Cebrail districts collapsed.
361,"Most of the squad and coaching staff of the local football club Hatayspor were initially trapped in the collapse of their headquarters in Antakya before being rescued, with player Christian Atsu and sporting director Taner Savut dying."
362,"In Kırıkhan District, 1,886 buildings collapsed and 7,190 others were severely damaged or required demolition."
363,"At least 982 buildings were destroyed, 8,894 others were badly damaged and 943 had to be demolished in Defne."
364,"In Reyhanlı, 318 buildings collapsed and 1,661 others were severely damaged or required demolition."
365,"At least 187 buildings collapsed, 2,176 others were badly damaged and 194 others had to be demolished in Arsuz."
366,"In Kumlu, 131 buildings were destroyed, 738 others were severely damaged and 84 others required demolition."
367,At least 58 buildings collapsed and 669 others were badly damaged or had to be demolished in Payas.
369,"In İskenderun, an industrial city in Hatay Province, a large fire at the port was reported on 6 February at 17:00, believed to have originated from a container carrying flammable industrial oil, forcing the port's closure and the diversion of many ships."
370,"It was extinguished on 6 and 8 February, only for it to reignite the next day each time."
371,It was finally extinguished on 10 February.
372,"A total of 3,670 containers were destroyed by the fire and the port managing authority said it would take three months for operations to resume."
373,"The city saw 534 buildings collapse, 337 requiring demolition and 4,622 receiving severe damage."
374,"Flooding occurred along the city shoreline, inundating streets up to 200 m (660 ft) inland."
375,"The Cathedral of the Annunciation, seat of the Roman Catholic Apostolic Vicariate of Anatolia, was almost completely destroyed."
376,"At least 3,109 people died in the city and over 12,000 were injured."
377,"In Erzin District, 31 buildings collapsed and 897 were heavily damaged or had to be demolished."
378,"However, there were no collapses or major damage in Erzin, the largest town in the district."
379,Multiple factors including strict building codes prevented destruction.
380,"An estimated 20,000 people fled to Erzin, increasing its population by about 50 percent."
381,"In Samandağ, 670 buildings collapsed, 9,212 were badly damaged or required demolition and 7,850 people died."
382,"At least 1,046 buildings collapsed and 3,452 others were severely damaged or had to be demolished in Hassa District."
383,"In Altınözü, 838 buildings were destroyed, 3,892 others were badly damaged and 650 others required demolition."
384,"There were 213 collapsed buildings and 1,453 others had been severely damaged or had to be demolished in Yayladağı."
385,"At least 139 buildings collapsed, 755 others were badly damaged and 87 others had to be demolished in Belen."
386,"In Dörtyol, 115 buildings were destroyed and 2,030 others had to be demolished or were severely damaged."
388,"Mass burials occurred in Kahramanmaraş for more than 5,000 bodies."
389,"A city official said the mass grave would eventually be the burial ground for 10,000 bodies."
390,Around 75 percent of the city's buildings were damaged or destroyed.
391,"In Elbistan, 924 people died and 1,825 were injured."
392,"An estimated 2,000 buildings were destroyed."
393,"At Ordekdede, a village in Pazarcik District, almost all single-story buildings were decimated."
394,None of the 140 houses in the village were structurally stable.
395,Thirty-four people died in the village.
396,"At least 11 people died, 107 houses were destroyed and 70 percent of the building stock were damaged in Ekinözü."
397,"In Afşin, at least 180 people died."
398,At least 335 buildings including 90 in the city center were destroyed.
399,The Afşin-Elbistan Thermal Power Plant was also damaged.
400,"In Ericek, a village in Göksun, 95 percent of homes were affected and 152 died."
401,"In Nurhak, there were around 200 deaths and all houses were severely damaged."
402,"In Türkoğlu, 1,171 buildings collapsed and 4,500 others required demolition."
404,"In Adıyaman Province, over 20,000 buildings and 56,600 apartments were destroyed."
405,"In the city of Adıyaman, four neighborhoods were razed."
406,Many buildings along Atatürk Boulevard collapsed.
407,"The city hall, a 6th-century mosque and Gölbaşı District's state hospital were also destroyed."
408,"Isias Hotel, the largest hotel in the city, also collapsed, killing 65 people."
409,Up to 10 percent of Adıyaman's population perished.
410,The mayor of Kömür said the Karapınar and Bahçelievler neighborhoods were nearly destroyed.
411,"Destruction was also observed in Barbaros, Çelikhan, Sümerevler and Karapınar districts."
412,"In Harmanlı, a village in Gölbaşı District, 80–90 percent of it was destroyed."
413,The second earthquake destroyed three buildings in the province.
414,"In Gölbaşı, 71 percent of the town's infrastructure was damaged or destroyed and 695 people were killed with over 400 injured, including 286 deaths in the town center."
415,"There were also 410 deaths in Besni District, about 90 percent of them in the town itself."
416,"In Kâhta, at least 55 people died."
417,"In Diyarbakir Province, 8,086 buildings were damaged, required demolition or were destroyed."
418,"Diyarbakır Fortress, a UNESCO World Heritage Site, was also partly destroyed."
419,The adjacent World Heritage Site of Hevsel Gardens was also damaged.
420,"Part of the Galeria complex in Yenişehir, which included a shopping mall and dozens of apartments collapsed, killing 89 and injuring 22."
422,At least 466 buildings were heavily damaged in Şanlıurfa Province; 201 were destroyed.
423,Structures around the Pool of Abraham were damaged.
424,"The minaret at the religious shrine partially collapsed, sending rubble into the pools below and discoloring the water, which was also contaminated by seeping sewage."
425,"In Eyyübiye District, the minaret of the Eyüp Prophet Mosque was damaged and removed."
426,Thirty-three people were killed in the collapse of the Osman Ağan Apartment.
427,"In Osmaniye Province, of the 22,841 buildings surveyed, 1,739 were heavily damaged, destroyed or required urgent demolision."
428,"At least 1,088 of the 13,667 buildings examined in Merkez District were destroyed, seriously damaged or needed to be demolished."
429,"In Kilis Province, 119 buildings were destroyed and 138 others were heavily damaged."
430,"In Batman Province, 218 buildings were damaged, and an additional 15 were completely destroyed."
431,"In Mardin Province, 59 buildings were heavily damaged and another 190 were slightly damaged and a death related to a heart attack occurred in Kızıltepe District."
432,"In Bingöl Province, several houses cracked and some livestock were killed by collapsing barns."
433,"In Samsun, damage occurred in Samsun Stadium."
434,"In Kayseri Province, eight buildings collapsed, while 5,252 others were damaged to some extent."
435,Several houses were damaged and a barn collapsed in Muş Province.
436,"In Sivas Province, the second earthquake destroyed a few houses."
437,"In Giresun Province, a five-story building was damaged and evacuated."
438,An unoccupied apartment in Elazığ was damaged and later collapsed during the second earthquake.
